name;address;website;phone;emails;district 
Azienda Agricola Giacopuzzi;via Stiffa, 8, 37020 Sant'Anna d'Alfaedo VR;;328 761 0626;;
Camero Ferramenta E Siderurgici Srl;Via Olmo, 16, 37040 Boschi Sant'Anna VR;https://camero.group;0442 99177;info@camero.srl;
Boschi S.Anna;37040 Boschi Sant'Anna VR;;;;
Parrocchia Sant Anna Dei Boschi;Piazza S. Anna, 17, 37040 Boschi Sant'Anna VR;;0442 99173;;
Rettondini Carpenteria Snc;Via Olmo, 1, 37040 Boschi Sant'Anna VR;http://rettondinicarpenteria.it;0442 99226;info@rettondinicarpenteria.it;
Bosco Allegro;Via Croce dello Schioppo, 1, 37020 S, VR;https://www.corradobenedetti.it;045 754 5186;info@corradobenedetti.it;
Comune di Boschi Sant'Anna;Piazza S. Anna, 31, 37040 Boschi Sant'Anna VR;http://www.comune.boschisantanna.vr.it;0442 99133;info@comune.boschisantanna.vr.it protocollo@pec.comune.boschisantanna.vr.it;
Playmec Srl;Via Stradone, 6/B, 37040 Boschi Sant'Anna VR;http://www.playmec.it;0442 168 0014;;
Dispensa Cerro Sas;Via Carcereri, 29, 37021 Bosco Chiesanuova VR;;045 708 0330;;
Dea Carni Snc Di Corbellari Diego E Manani Aurora;Via Roma, 44, 37021 Bosco Chiesanuova VR;http://www.facebook.com;045 678 0873;;
Terra Cimbra Prodotti Tipici;Piazza Guglielmo Marconi, 18, 37021 Bosco Chiesanuova VR;http://www.terracimbra.it;045 678 0379;info@terracimbra.it;
Dosso scol s.a.ss Massella R.;SP13, 37021 Bosco Chiesanuova VR;;;;
La giasara;Via Roma, 30, 37021 Bosco Chiesanuova VR;https://la-giasara.business.site;340 233 1734;;
Market Campara;24 Via Marcello Carcereri, 37021 Bosco Chiesanuova VR;;045 708 0038;;
Vinco Leone & C. Snc;Contrada Carcaro, 4, 37021 Bosco Chiesanuova VR;;045 705 0111;;
Alimentari Da Nora Di Canteri Emanuele;Piazza V Corti, 27, 37021 Corbiolo VR;https://www.facebook.com;045 705 0840;;
PASSIONI LATINE;;http://www.passionilatine.it;045 710 0361;info@passionilatine.it;
Salumeria Concato Di Concato Germano E C Snc;Piazza Pozza, 26, 37051 Bovolone VR;;045 710 0220;;
Macelleria - Pozzani Alessandro;Via Madonna, 256, 37051 Bovolone VR;;392 019 1637;;
Coltro Claudio;Via IV Novembre, 24, 37051 Bovolone VR;;045 710 1712;;
Macelleria e Bazar Ennour;Via Madonna, 342, 37051 Bovolone VR;;351 920 9969;;
La Bottega Del Salumiere Di Leonardo Rossignoli;Via Giuseppe Garibaldi, 68, 37051 Bovolone VR;;045 710 0070;;
Gastronomia Da Marco;Via Udine, 2, 37051 Bovolone VR;;045 710 3854;;
Gastronomia Da Leo;Via Giuseppe Garibaldi, 68, 37051 Bovolone VR;;045 710 0070;;
Il Botteghino;Via Malpasso, 7B, 37051 Bovolone VR;;045 223 7487;;
Sfizi Di Pane;Via S. Pierino, 25, 37051 Bovolone VR;;045 710 0734;;
L'insolita Bottega Enoteca & Specialità Alimentari;Via Madonna, 340, 37051 Bovolone VR;https://www.facebook.com;388 158 1483;;
Bovolino S.R.L. (forniture gruppi di ristorazione);Via Papa Giovanni XXIII, 1, 37051 Bovolone VR;https://www.bovolino.it;045 950583;;
Bovolino s.r.l.;37051 Bovolone VR;https://www.bovolino.it;;;
Prodotti Genuini da Colombini;Viale Portalupi, 231, 37056 Bionde VR;https://www.colombini.shop;379 145 8052;colombini@pec.it colombiniefiglisnc@legamail.it info@colombini.shop;
Citres S.p.a.;Via del Giglio, 19, 37051 Bovolone VR;http://www.citres.com;045 713 4799;info@citres.com info@pec.citres.com;
Dor de casa magazin romanesc;Via Carlo Alberto, 20, 37051 Bovolone VR;;348 748 4552;;
A&O Bovolone;Via Camillo Benso Cavour, 15, 37051 Bovolone VR;https://www.aeo.it;045 710 2664;;
Martino rosi;Via Madonna, 404, 37051 Bovolone VR;;;;
Trattoria Pane e Vino;Via Vittorio Veneto, 24, 37051 Bovolone VR;http://www.panevinobovolone.it;045 710 1195;;
Famila Superstore Bovolone;Via S. Pierino, 93, 37051 Bovolone VR;http://www.famila.it;045 690 0077;;
Cantina Seiterre Rizzi Bovolone;Via Dossi, 26, 37051 Bovolone VR;http://www.seiterre.com;045 462 1530;customer@seiterre.com info@seiterrewineshop.com. info@seiterre.com;
Pane Tinto;Via Canton, 7, 37051 Bovolone VR;https://tinto-damiano-giuseppe.business.site;045 710 0262;;
La Vineria Bovolone;Via Crosare, 119, 37051 Bovolone VR;https://la-vineria-bovolone.business.site;045 710 3812;;
IperTosano Bovolone;Via Madonna, 318, 37051 Bovolone VR;http://www.supertosano.com;045 710 1098;tosumb@supertosano.com toscer@supertosano.com tosmgl@supertosano.com toscas@supertosano.com tosorz@supertosano.com cesti@supertosano.com toscos@supertosano.com tospra@supertosano.com tosjes@supertosano.com toscst@supertosano.com tosbov@supertosano.com tosvag@supertosano.com tosleg@supertosano.com toscur@supertosano.com tosmnt@supertosano.com tosano@supertosano.com tosped@supertosano.com tosthi@supertosano.com tosfer@supertosano.com toscor@supertosano.com;
Caffè Fusari - Laboratorio artigianale di Torrefazione Caffè Verona;Via della Serenissima, 13, 37051 Bovolone VR;http://www.caffefusari.it;349 520 6184;info@caffefusari.it;
Pasquini Marino S.R.L.;Via Madonna, 306, 37051 Bovolone VR;http://www.pasquinimarino.it;045 710 0529;pasquini.marino@legalmail.it info@pasquinimarino.it;
Macellologo di Brentaro Gianni & C. Snc;Via Abetone, 52 - Loc. Pellegrina, 37063 Isola della Scala VR;;045 733 0255;;
Venturini Spaccio Carni Di Rossato Claudio;Via Lavacchio, 153, 37056 Salizzole VR;;045 694 8034;;
Pasticceria Perbellini Bovolone;Via Vittorio Veneto, 46, 37051 Bovolone VR;http://www.perbellini.com;045 710 0599;info@perbellini.com bistronomia@perbellini.com;
742° Fiera Agricola di San Biagio;Palazzo Corte Salvi, Piazza Costituzione, 1/1° Piano, 37051 Bovolone VR;http://fierasanbiagio.it/;324 863 4381;produzione@pirene.it marilena.isolani@comune.bovolone.vr.it;
Bongelato di Ambra&Giada Zago;Piazza Pozza, 4, 37051 Bovolone VR;;389 913 9572;;
Donadoni Roberto;Via della Libertà, 1, 37050 San Pietro di Morubio VR;;045 712 5412;;
Filippi Paolo;Via Casalati, 120, 37050 Isola Rizza VR;;045 697 0828;;
Pasticceria Aroma snc;Via Madonna, 388/a, 37051 Bovolone VR;;045 690 1158;;
Mercato del Martedì;Piazzale Aldo Moro, 37051 Bovolone VR;;;;
Perbellini Bevande;Via Ignazio Silone, 36, 37051 Bovolone VR;;045 694 8011;;
Avicola Oppeanese S.r.l;Via Spin, 2, 37050 Oppeano VR;;045 713 5178;;
Atletica Selva Bovolone;37051 Bovolone VR;http://atleticabovolone.wordpress.com/;;;
Bioalleva Srl;Via Rodolfo Spineta, 1374, 37050 Oppeano VR;http://www.bioalleva.it/;045 898 0943;info@bioalleva.it;
invino wine food;Via Carlo Alberto, 7, 37051 Bovolone VR;https://m.facebook.com/Invinowinefood/;045 259 0740;;
Olivetti Marchesi Di Marchesi Ettore;Piazza Castello, 14, 37056 Salizzole VR;;045 710 0981;;
Gioielleria Rossignoli 1925;Via Giuseppe Garibaldi, 13, 37051 Bovolone VR;;045 710 3194;;
Melotto Enrico;Via Roma, 85, 37050 Isola Rizza VR;https://www.supermercatomelotto.it/;045 713 5037;;
Merlin Paolo;3, Via Isolella, Cerea, VR 37053, 37053 Cerea VR;;0442 83212;;
Murari Sandra;Piazza Ungheria, 20, 37059 Zevio VR;;045 785 0819;;
Macelleria Costanzo S.n.c. di Compri Veronica & C.;Via Provinciale Est, 1/A, 37060 Buttapietra VR;http://www.macelleriacostanzo.it/;045 666 0017;costanzo.compri@virgilio.it;
Lanza S.r.l;Viale Europa, 9, 37024 Negrar di Valpolicella VR;http://www.lanzasrl.com/;045 750 0046;info@lanzasrl.com info@lanzasrl.comPEC info@pec.lanzasrl.com;
Gallery Snc;Via Baldoni, 29, 37051 Bovolone VR;http://galleryristorante.myadj.it/v/galleryristorante;045 710 3937;;
Tosi Gioielli Snc;Via Giuseppe Garibaldi, 31A, 37051 Bovolone VR;http://www.tosigioielli.com/;045 710 0490;tosigioielli@libero.it;
Savicomm s.a.s.;Via Mottella, 17, 37054 Nogara VR;;0442 510222;;
Miglioranza Carni Srl;Via Gardesane, 216, 37139 Verona VR;;349 380 7100;;
Olivo Marcello;Via S. Francesco, 13, 37051 Villafontana VR;http://www.olivomarcellogas.com/;045 714 5333;;
Pieve San Giovanni in Campagna;Viale della Pietà, 37051 Bovolone VR;https://www.parrocchiabovolone.it/ambienti/chiese-e-oratori/pieve-di-san-giovanni-in-campagna/;045 710 0063;mostralibri@parrocchiabovolone.it ricerchestoriche@parrocchiabovolone.it vitaparrocchiale@parrocchiabovolone.it segreteria@parrocchiabovolone.it parrocchiasangiuseppebovolone@pec.it;
Caseificio Ghidetti s.r.l.;Via Vivaldi, 201, 37050 Isola Rizza VR;http://www.caseificioghidetti.it/;045 713 5711;beniamino@caseificioghidetti.it r.bignami@caseificioghidetti.it monica@caseificioghidetti.it giuseppe@caseificioghidetti.it s.pasqualini@caseificioghidetti.it enrico@caseificioghidetti.it riccardo@caseificioghidetti.it grazia@caseificioghidetti.it anna@caseificioghidetti.it info@caseificioghidetti.it d.bissoli@caseificioghidetti.it;
Corte Palazzina;Via Isolella Bassa, 3, 37050 Cerea VR;https://www.facebook.com/cortepalazzina.it;338 274 0196;;
Cenedese Carni;Via S. Pio X, 23, 31030 Breda di Piave TV;;0422 90821;;
Caseificio Tomasoni Srl;Via Bovon, 3, 31030 Breda di Piave TV;http://www.caseificiotomasoni.it/;0422 686200;logo-tondo-94x75@2x.png logo-tondo-50x40@2x.png info@caseificiotomasoni.it;
Lazzari Emiliano;Piazza D. Olivi, 15, 31030 Breda di Piave TV;;0422 90919;;
Az.Agr. La Valentina Di Curtolo Renis;Via Parè, 8, 31030 Breda di Piave TV;;;;
Azienda Agricola Scandiuzzi Tiziano;Via Code, 25, 31030 Breda di Piave TV;;347 894 2052;;
Tenuta San Paolo Di Marangon Romeo;Via Cal di Breda, 3, 31030 Breda di Piave TV;http://www.tenutasanpaolo.com/;0422 600142;;
Agriturismo Al Leccio;Via Spesse, 1, 31030 Pero TV;http://www.agriturismoalleccio.com/;366 342 5424;info@agriturismoalleccio.com az.alleccio@virgilio.it;
Agriturismo Ca' Del Gelso;Via Levada, 1, 31030 Breda di Piave TV;http://www.cadelgelso.com/;0422 600723;info@cadelgelso.com;
Locanda Rosa Rosae;Via Molino, 1, 31030 Breda di Piave TV;http://www.locandarosarosae.it/;0422 686626;;
Trevisi Lorenzo;Via A. dal Vesco, 11, 31030 Breda di Piave TV;;0422 90042;;
CGIL - Breda di Piave;Via Niccolo' Moretti, 14, 31030 Breda di Piave TV;http://www.cgiltreviso.it/;0422 600216;treviso@cgiltreviso.it;
Bosco degli Ontani;31030 Breda di Piave TV;;;;
Istituto Comprensivo Statale di Breda di Piave;Via S. Pio X, 33, 31030 Breda di Piave TV;http://icbreda.it/;0422 90877;;
VIVAI BOIAGO - Az. Agr. Boiago Augusto di Boiago Fabio;Via Argine Piave, 26, 31030 Breda di Piave TV;https://www.vivaiboiago.com/;0422 686073;fabio@boiago.com;
Vivai Mosole Di Mosole Galiano & Figlio S.S.;Via dei Casoni, 21, 31030 Breda di Piave TV;https://www.vivaimosole-treviso.it/;0422 686010;info@vivaimosole-treviso.it;
Parrocchia di Breda di Piave;Via Roma, 4, 31030 Breda di Piave TV;https://www.comune.bredadipiave.tv.it/index.php?area=90&menu=507&page=1182&lingua=4;0422 600176;info@comunebreda.it parrocchiadibreda@yahoo.it protocollo.comune.bredadipiave.tv@pecveneto.it;
Zampieri Daniele | Impianti Termoidraulici;Via Moretti, 24, 31030 Breda di Piave TV;https://www.zampieritermoidraulica.com/;340 339 3598;danieletermoidraulica@gmail.com;
Scuola Secondaria di primo grado Galileo Galilei;Via S. Pio X, 33, 31030 Breda di Piave TV;http://www.icbreda.gov.it/;0422 90877;;
Macelleria Non Solo Carni Di Denis e Michele Breganze;Via Gen. Maglietta, 11, 36042 Breganze VI;https://instagram.com/dai_novei?igshid=YmMyMTA2M2Y=;0445 873468;;
La Macelleria Di Cesco S.N.C.;Via Cinque Martiri, 45, 36042 Breganze VI;;388 816 2107;;
Gastronomia Giuliana Snc;Via Irene Fioravanzo, 8, 36042 Breganze VI;;0445 873326;;
La Ciacola;Piazza Mazzini, 37, 36042 Breganze VI;http://www.laciacola.com/;0445 300001;;
Non Solo Pane;Piazza Mazzini, 11, 36042 Breganze VI;https://www.nonsolopane.biz/;0445 308120;;
Latteria di Soligo;Via Don A. Battistella, 58, 36042 Breganze VI;http://www.latteriasoligo.it/;0445 300579;info@latteriasoligo.it;
Fontana Antonio S.R.L.;Via delle Laste, 1, 36060 Pianezze VI;http://www.fontanacarni.it/;0424 470047;;
Azienda Agricola Vitacchio Emilio;Via Brogliati Contro, 50, 36042 Breganze VI;http://www.vitacchioemilio.it/;0445 874681;mvitacchio@gmail.com;
Maculan;Via Castelletto, 3, 36042 Breganze VI;http://www.maculan.net/;0445 873733;bootstrap-v4-grid-only@1.0.0 info@maculan.net;
Pescheria Da Gianni;Via Don Agostino Battistella, 35, 36042 Breganze VI;;0445 300996;;
Ca' Biasi;Via Fratte, 12, 36042 Breganze VI;http://www.cabiasi.it/;0445 851069;;
Miotti Firmino;Via Brogliati Contro, 53, 36042 Breganze VI;http://www.firminomiotti.it/;0445 873006;info@firminomiotti.it;
Macelleria Mirabella;Via Mirabella, 17, 36042 Mirabella VI;;0445 300146;;
FG sas Di Fiorentin Giuseppe & C.;Via della Meccanica, 68, 36042 Breganze VI;https://www.fiorentin.info/;0445 874462;info@fiorentin.info;
Hostaria Don Fili;Via Crosara, 47, 36042 Breganze VI;http://www.hostariadonfili.it/;0445 873154;info@hostariadonfili.it;
ioMazzucato Cantina Vitivinicola;Via San Gaetano, 21, 36042 Breganze VI;http://www.iomazzucato.it/;0445 308348;support@gist-apps.com. info@iomazzucato.it;
Cantina Col Dovigo;Via Brogliati Contro, 38, 36042 Breganze VI;http://www.coldovigo.com/;0445 874264;react-dom@16.14.0 831126cb46b74583bf6f72c5061cba9d@sentry-viewer.wixpress.com core-js-bundle@3.2.1 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com react@16.14.0 lodash@4.17.21 focus-within-polyfill@5.0.9;
Panificio Zanuso;Via Roma, 15, 36042 Breganze VI;;0445 873290;;
Cattelan Giovanni Battista;Via San Valentino, 33, 36042 Breganze VI;;0445 300231;;
Fabbi Mirko;Via Leva, 109, 36030 Montecchio Precalcino VI;;0445 334198;;
Le Colline Di Vitacchio Gian Pietro;Via Brogliati Contro, 37, 36042 Breganze VI;;;;
Al Monte di Livio;Via Fratta, 83, 36064 Colceresa VI;http://www.almontedilivio.com/;0424 189 0903;info@almontedilivio.com;
Macelleria La Bottega della Carne;Via Giovanni Breganze, 96, 36036 Torrebelvicino VI;;0445 660185;;
Inoxsystem Srl;Via dell'Artigianato, 33, 36042 Breganze VI;https://www.inoxsystem.it/;0445 300876;info@inoxsystem.it;
Gasparotto Luigino E C. Snc;Via Nenni Pietro, 5, 36042 Breganze VI;;0445 851154;;
Tenutefosca;Via dell'Artigianato, 36, 36042 Breganze VI;https://www.tenutefosca.com/;335 136 1389;info@tenutefosc.com info@tenutefosca.com logo-tenutefosca@2x.png;
Cumerlato Giovanni;Via Santissima Trinità, 37, 36015 Schio VI;;0445 526888;;
Antica Trattoria Al Cappello;Via Guglielmo Marconi, 4, 36042 Breganze VI;https://www.ristorantealcappello.it/;0445 873147;ristorantealcappello@alice.it;
Ca.Form S.r.l;Via Brigata Mazzini, 14, 36016 Thiene VI;http://www.fiordimaso.com/;0445 386277;info@caform.com pretty-checkbox@3.0;
Macelleria Cumerlato Silvano;Via Breganze, 56, 36036 Torrebelvicino VI;;0445 660185;;
Le Vigne di Roberto Terre di Confine;Via Perlena, 36030 Fara vicentino VI;http://www.levignediroberto.it/;0445 167 0127;info@levignediroberto.it;
L'angolo Del Pane;Via Breganze, 36036 Torrebelvicino VI;;349 071 6011;;
Dal Baffo;Via Tedesca, 21, 36010 Carrè VI;;0445 892006;;
Caseificio San Rocco;Via Tre Case, 65, 36056 Tezze sul Brenta VI;http://www.caseificiosanrocco.it/;0424 89056;enrico.carli@telemar.it francesco.turco@caseificiosanrocco.it info@caseificiosanrocco.it;
Viale Market E Gastronomia S.R.L.;Via B. Croce, 67, 36040 Brendola VI;http://gastronomiaviale.it/brendola-vicenza/;0444 400888;info@gastronomiaviale.it;
Macelleria da Giulio;Via B. Croce, 75, 36040 Brendola VI;;0444 400971;;
Macelleria Righetti Luca;Via Revese, 43, 36040 Brendola VI;;0444 401342;;
Le Pignole di Boracchi Serena;Via Meucci, 87, 36040 Brendola VI;http://www.lepignole.it/;345 421 1908;info@lepignole.it acquisti@lepignole.it;
Viale Market e Gastronomia srl - Laboratorio Produttivo;Via Giuseppe Mazzini, 24, 36040 Pedocchio VI;http://www.gastronomiaviale.it/;0444 400888;info@gastronomiaviale.it;
Trattoria Al Fogolare Di Davide Formaggio & C.;Via Revese, 27, 36040 Brendola VI;;0444 400686;;
Az. agricola Cà nova di Lorenzi Mirco;Via Canova, 7, 36040 Ca' Nova VI;http://www.aziendaagricolacanova.it/;347 233 8354;mircolorenzi85@gmail.com;
Volpato Renzo;Via A. Lamarmora, 82, 36040 Brendola VI;;0444 400870;;
La Pergola Trattoria con alloggio;Via Dante Alighieri, 134, 36040 Brendola VI;http://www.trattorialapergola.it/;0444 601675;react-dom@16.14.0 831126cb46b74583bf6f72c5061cba9d@sentry-viewer.wixpress.com core-js-bundle@3.2.1 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com info@trattorialapergola.it react@16.14.0 lodash@4.17.21 focus-within-polyfill@5.0.9;
Panificio Bedin;Via Sansovino, 3, 36040 Brendola VI;http://www.panificiobedin.it/storia-panificio-bedin/;0444 400927;panificiobedinvi@libero.it;
Vicentin Elido;Via XXIV Maggio, 59, 36054 Montebello Vicentino VI;;0444 441350;;
De Carli Antonio & Figli (S.N.C.);Via Scarantello, 5, 36040 Brendola VI;;0444 400937;;
Bio Agriturismo Monterosso;Via Monte Rosso, 18, 36040 Brendola VI;http://www.agriturismomonterosso.com/;0444 401008;;
Osteria Ca' Vecie;Via Cavecchie, 99, 36040 Brendola VI;http://www.osteriacavecie.com/;0444 601375;bisonteattento@gmail.com;
Cantina Roeno;Via Mama, 3, 37020 Brentino Belluno VR;https://www.cantinaroeno.com/;045 723 0110;;
Panificio Zorzi;Località Brà, 1, 37020 Brentino VR;https://www.panificiozorzi.com/;045 723 0107;info@panificiozorzi.com;
Cantina Valdadige;Via Don Cesare Scala, 45, 37020 Brentino Belluno VR;http://www.cantinavaldadige.it/;045 628 4064;;
Avioincar S.A.S.;Via Sabbioni, 8/d, 38063 Sabbionara TN;http://www.avioincar.it/;0464 683111;info@avioincar.it export@avioincar.it;
Al castel;Località Castel, 37020 Brentino Belluno VR;;347 132 0423;;
Agriturismo Al Casot;Località Al Casot, 37020 Brentino Belluno VR;;348 983 8601;;
Agriturismo Revena Guest house farm wine holiday;Località Revena, 3, 37020 Brentino Belluno VR;http://www.revena.it/;335 617 2795;;
"Azienda Produzione Vini Pregiati ""Antico Fenilon"" - Fam. Secchi";37020 Preabocco VR;http://www.anticofenilon.it/;339 246 7186;;
Agriturismo Castel;Località Castel, 3, 37020 Brentino Belluno VR;http://www.agriturismoalcastel.com/;347 132 0423;info@agriturismoalcastel.com info@AgriturismoAlCastel.com;
Zanardini Salumi di Dalmi Attilio;Via Palmiro Togliatti, 13, 24062 Costa Volpino BG;https://zanardinisalumi.it/;035 971589;;
Gagliardoni salumi;Via dei Laghi, 12, 25080 Puegnago sul Garda BS;;0365 555577;;
Macelleria Sartori;Via XX Settembre, 19/21, 37010 Brenzone VR;http://www.sartoricarni.com/;045 742 0021;info@sartoricarni.com;
Olio Brighenti;Via Madonna della Pace, 2, 37010 Brenzone sul Garda VR;http://www.oliobrighenti.it/;347 831 8938;brighentibortolo@legalmail.it oliobrighenti@gmail.com;
Alimentari Brenzone sul Garda;Via del Loc, 3, 37010 Brenzone VR;;045 742 0361;;
La Botéga Del Bertiól;Via Madonna della Pace, 6, 37010 Brenzone VR;;351 738 0020;;
Despar Brenzone;Via Cristoforo Colombo, 10, 37010 Brenzone VR;https://sites.google.com/view/despar-brenzone/;045 742 0131;;
Despar Assenza;Via Gardesana, 38, 37010 Brenzone sul Garda VR;https://sites.google.com/view/despar-assenza/;045 611 8790;;
Benetti Dino & Giampaolo (S.N.C.);Via Roma, 43, 36050 Bressanvido VI;;0444 660147;;
Pagiusco Carlo;Via S. Rocco, 10, 36050 Bressanvido VI;;0444 660061;;
Commercio Bestiame Facco Carlo E C Snc;158 Via Fornace, Bressanvido, Vi 36050, 36050 Bressanvido VI;;0444 660339;;
Il Vecchio Forno S.r.l.;Via Oltre Agno, 7, 36070 Brogliano VI;https://www.ilvecchioforno.com/;0445 194 7400;;VI
Macelleria da Davide e Cristian;Via Dante Alighieri, 13, 36070 Trissino VI;https://macelleriadavidecristian.com/;0445 491722;macelleriadavideecri@libero.it;VI
Il Macellaio Di Pellizzaro Giovanni;Via Dalle Ore, 15, 36070 Trissino VI;;0445 490759;;VI
Gastronomia Refosco Andrea;Via Monte Pasubio, 57, 36073 Cornedo Vicentino VI;;0445 951294;;VI
Spaccio Carni;36070 Trissino VI;;;;VI
Macelleria Al Campanile;P. del Mercato, 7, 36078 Valdagno VI;http://www.macelleriaalcampanile.com/;0445 403214;davi08de@tiscali.it;VI
Latteria E Salumeria;Via A. Fusinato, 76, 36015 Schio VI;;0445 538464;;VI
Forme e Sapori - Produttori Sopressa di Brenton De.Co. - Sede produttiva;Via Roncolati, 43D, 37030 Brenton VR;http://formesapori.it/;;formesapori@hotmail.it;VR
Supermercato San Valentino;Via Lora Antonio, 8, 36070 Trissino VI;https://www.carnisanvalentino.it/;0445 962095;;VI
I buoni sapori selezioni e delizie;Largo Tiepolo, 63, 36051 Creazzo VI;http://www.mastermeat.it/;0444 523285;info@mastermeat.it;VI
Locanda Perinella;Via Bregonza, 19, 36070 Brogliano VI;http://locandaperinella.it/;0445 947688;info@locandaperinella.it;VI
Macelleria Pellichero;Via Pasubio, 90, 36078 Valdagno VI;http://www.mpcarni.it/;0445 410414;amministrazione@mpcarni.it commerciale@mpcarni.it;VI
Macelleria Massignani Luigi;Via L. Galvani, 45, 36078 Valdagno VI;;0445 402276;;VI
Peruffo srl - Asfaltatura, servizi stradali e recupero materiale;Via dell'Artigianato, 25, 36070 Brogliano VI;https://www.peruffosrl.it/;0445 947670;info@peruffosrl.it peruffosrl@pec.it;VI
Supermercati San Valentino;Via Monte Cengio, 13, 36073 Cornedo Vicentino VI;https://www.carnisanvalentino.it/;0445 446068;;VI
L'Edera;36070 Brogliano VI;;;;VI
Alimentari Scarparolo S.N.C.;Piazza Marconi, 12, 36070 Castelgomberto VI;http://www.scarparoloalimentari.it/;0445 940128;;VI
Capricci Di Gola, Non Solo Pane;Via Monte Cengio, 3, 36073 Cornedo vicentino VI;;0445 951237;;VI
Gero's Pub;Via Andrea Palladio, 50, 36070 Brogliano VI;https://m.facebook.com/gerospubbrogliano;371 337 2447;;VI
Cazzola Enrico;Via Buonconsiglio, 25, 36075 Montecchio Maggiore-Alte Ceccato VI;;0444 499533;;VI
Bar in Piassa;Piazza Roma, 4, 36070 Brogliano VI;;0445 947008;;VI
"Centro di Equitazione Alpina ""Piccole Dolomiti""";Via Nardi n. 2 - loc. Quargnenta, 36070 Brogliano VI;;345 139 2931;;VI
Pepenero da Fabrizio;Via degli Alpini, 1, 36070 Castelgomberto VI;;0445 941275;;VI
Eurospesa Supermercati;Viale dell' Industria, 74, 36070 Trissino VI;http://www.dadoonline.com/;0445 490690;info@dadospa.it markerclustererplus@4.0.1;VI
Azienda Agricola Carraro Isidoro;Via S. Valentino, 30, 36030 Costabissara VI;;0444 971218;;VI
Sapori Valleogra;Via Pasubio, 13, 36034 Malo VI;http://www.saporivalleogra.it/;0445 602087;negozio@maisamarano.it negozio@saporivalleogra.it;VI
Bruschetteria Road Up;SP102, 32, 36070 Trissino VI;;366 298 7024;;VI
Cantina Valleagno Snc di Pellizzaro Moreno e C.;Via Don Sammartin Lungoagno, 10, 36073 Cornedo Vicentino VI;http://www.cantinavalleagno.com/;0445 951898;cantinavalleagno@gmail.com;VI
Pastificio Brodesco Di Antonella Brodesco Vicenza;Contra S. Francesco, 32, 36100 Vicenza VI;http://www.bigoiebagoi.it/;0444 921455;;VI
COOPERATIVA DI CONSUMO DI CORNEDO VICENTINO;Piazza Aldo Moro, 26, 36073 Cornedo Vicentino VI;https://www.crai-supermercati.it/punti-vendita/pdv.php?id=190;0445 951191;;VI
IperTosano Cornedo;Via A. Pigafetta, 42, 36073 Cornedo vicentino VI;http://www.supertosano.com/;0445 950611;tosumb@supertosano.com tosbov@supertosano.com tosfer@supertosano.com toscos@supertosano.com tosvag@supertosano.com toscas@supertosano.com cesti@supertosano.com toscor@supertosano.com toscur@supertosano.com tosorz@supertosano.com tosped@supertosano.com tosjes@supertosano.com toscer@supertosano.com toscst@supertosano.com tospra@supertosano.com tosmnt@supertosano.com tosmgl@supertosano.com tosthi@supertosano.com tosleg@supertosano.com tosano@supertosano.com;VI
Ferrara Luigi;Via Rialto, 176, 35020 Brugine PD;;049 973 5058;;PD
Zago Camillo;Via Rialto, 69, 35020 Campagnola PD;;049 973 9357;;PD
Spaccio Carni Chinello;Via Borghetto, 37, 35020 Sant'Angelo di piove di sacco PD;http://chinello.org/spaccio-carni/;349 310 0397;spacciocarnichinello@gmail.com silvia.doni77@libero.it;PD
La bottega del buon sapore;Via A. Moro, 76, 35020 Campagnola PD;;049 973 5923;;PD
il Fornaio di Minesso Giuliano & C.;Via Roma, 62, 35020 Brugine PD;https://il-fornaio-di-minesso-giuliano-c.business.site/;049 580 6774;;PD
Dpiù;Via A. Moro, 72, 35020 Brugine PD;https://www.d-piu.com/;049 973 5907;;PD
La Prosciutteria Azzurra;Via Domenico Campagnola, 15, 35020 Campagnola PD;;049 973 5849;;PD
C&M Tabacchi - Dhl Express Service Point - Lotto - Superenalotto - Servizi;Via Roma, 44, 35020 Brugine PD;;049 547 0722;;PD
Pasticceria Fiorin Giuseppe;Via Roma, 52, 35020 Brugine PD;https://www.facebook.com/PasticceriaFiorinGiuseppe;049 580 6535;;PD
Elettrofercasa s.n.c.;Via Roma, 53, 35020 Brugine PD;https://www.elettrofercasa.com/;049 580 6063;online@elettrofercasa.com info@elettrofercasa.com;PD
Chinello Ferramenta;Via Ardoneghe, 22, 35020 Brugine PD;https://ferramentachinello.com/;049 973 0037;license@prestashop.com contact@prestashop.com silviochinello@hotmail.it info@ferramentachinello.com;PD
L' Acropoli Della Frutta;Via Rialto, 46, 35020 Campagnola PD;;;;PD
Pasticceria Antichi Sapori;Via A. Moro, 102, 35020 Campagnola PD;https://pasticceria-antichi-sapori-di-cristiano-pianta.business.site/?utm_source=gmb&utm_medium=referral;340 312 2804;;PD
Ombreria Veneta;Via Roma, 65, 35020 Brugine PD;;;;PD
Villa Roberti;Via Roma, 96, 35020 Brugine PD;http://www.villaroberti.com/;392 522 6296;info@villaroberti.com;PD
